"url","Name","URLs","URLs_link"
"https://www.city-data.com/city/Rhode-Island.html","Ashaway","",""
"https://www.city-data.com/city/Rhode-Island.html","Barrington, RI","Barrington, RI","https://www.city-data.com/city/Barrington-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Bradford, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Bristol, RI","Bristol, RI","https://www.city-data.com/city/Bristol-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Burrillville","Burrillville","https://www.city-data.com/city/Burrillville-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Carolina, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Central Falls","Central Falls","https://www.city-data.com/city/Central-Falls-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Charlestown, RI","Charlestown, RI","https://www.city-data.com/city/Charlestown-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Chepachet","",""
"https://www.city-data.com/city/Rhode-Island.html","Clayville, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Coventry, RI","Coventry, RI","https://www.city-data.com/city/Coventry-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Cranston","Cranston","https://www.city-data.com/city/Cranston-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Cumberland Hill","Cumberland Hill","https://www.city-data.com/city/Cumberland-Hill-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Cumberland, RI","Cumberland, RI","https://www.city-data.com/city/Cumberland-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","East Greenwich","East Greenwich","https://www.city-data.com/city/East-Greenwich-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","East Providence","East Providence","https://www.city-data.com/city/East-Providence-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Exeter, RI","Exeter, RI","https://www.city-data.com/city/Exeter-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Foster Center","",""
"https://www.city-data.com/city/Rhode-Island.html","Foster, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Glocester","Glocester","https://www.city-data.com/city/Glocester-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Greenville, RI","Greenville, RI","https://www.city-data.com/city/Greenville-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Harrisville, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Hope Valley","",""
"https://www.city-data.com/city/Rhode-Island.html","Hopkinton, RI","Hopkinton, RI","https://www.city-data.com/city/Hopkinton-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Jamestown, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Johnston, RI","Johnston, RI","https://www.city-data.com/city/Johnston-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Kingston, RI","Kingston, RI","https://www.city-data.com/city/Kingston-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Lincoln, RI","Lincoln, RI","https://www.city-data.com/city/Lincoln-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Little Compton","",""
"https://www.city-data.com/city/Rhode-Island.html","Melville, RI","",""
"https://www.city-data.com/city/Rhode-Island.html","Middletown, RI","Middletown, RI","https://www.city-data.com/city/Middletown-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Misquamicut","",""
"https://www.city-data.com/city/Rhode-Island.html","Narragansett Pier","",""
"https://www.city-data.com/city/Rhode-Island.html","Narragansett","Narragansett","https://www.city-data.com/city/Narragansett-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","New Shoreham","",""
"https://www.city-data.com/city/Rhode-Island.html","Newport East","Newport East","https://www.city-data.com/city/Newport-East-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Newport, RI","Newport, RI","https://www.city-data.com/city/Newport-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","North Kingstown","North Kingstown","https://www.city-data.com/city/North-Kingstown-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","North Providence","North Providence","https://www.city-data.com/city/North-Providence-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","North Smithfield","North Smithfield","https://www.city-data.com/city/North-Smithfield-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Pascoag","",""
"https://www.city-data.com/city/Rhode-Island.html","Pawtucket","Pawtucket","https://www.city-data.com/city/Pawtucket-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Portsmouth, RI","Portsmouth, RI","https://www.city-data.com/city/Portsmouth-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Providence, RI","Providence, RI","https://www.city-data.com/city/Providence-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Richmond, RI","Richmond, RI","https://www.city-data.com/city/Richmond-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Scituate, RI","Scituate, RI","https://www.city-data.com/city/Scituate-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Smithfield, RI","Smithfield, RI","https://www.city-data.com/city/Smithfield-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","South Kingstown","South Kingstown","https://www.city-data.com/city/South-Kingstown-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Tiverton","Tiverton","https://www.city-data.com/city/Tiverton-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Valley Falls, RI","Valley Falls, RI","https://www.city-data.com/city/Valley-Falls-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Wakefield-Peacedale","Wakefield-Peacedale","https://www.city-data.com/city/Wakefield-Peacedale-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Warren, RI","Warren, RI","https://www.city-data.com/city/Warren-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Warwick, RI","Warwick, RI","https://www.city-data.com/city/Warwick-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","West Greenwich","West Greenwich","https://www.city-data.com/city/West-Greenwich-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","West Warwick","West Warwick","https://www.city-data.com/city/West-Warwick-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Westerly","Westerly","https://www.city-data.com/city/Westerly-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Woonsocket, RI","Woonsocket, RI","https://www.city-data.com/city/Woonsocket-Rhode-Island.html"
"https://www.city-data.com/city/Rhode-Island.html","Wyoming, RI","",""
